Ore Name,ItemStack,Item ID,Wildcard,Mod
arrowGtPlasticChrome,1xgt.metaitem.02@26030,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticCobalt,1xgt.metaitem.02@26033,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticCobaltBrass,1xgt.metaitem.02@26343,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticCupronickel,1xgt.metaitem.02@26310,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticDamascusSteel,1xgt.metaitem.02@26335,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticDarkIron,1xgt.metaitem.02@26342,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticDeepIron,1xgt.metaitem.02@26829,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticDesh,1xgt.metaitem.02@26884,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticDiamond,1xgt.metaitem.02@26500,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticDuranium,1xgt.metaitem.02@26328,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticElectrum,1xgt.metaitem.02@26303,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticElectrumFlux,1xgt.metaitem.02@26320,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticEmerald,1xgt.metaitem.02@26501,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticEnderium,1xgt.metaitem.02@26321,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticFZDarkIron,1xgt.metaitem.02@26342,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticFierySteel,1xgt.metaitem.02@26346,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticFirestone,1xgt.metaitem.02@26347,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticFlint,1xgt.metaitem.02@26802,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticForce,1xgt.metaitem.02@26521,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticFzDarkIron,1xgt.metaitem.02@26342,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticGarnet,1xgt.metaitem.02@26527,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticGarnetRed,1xgt.metaitem.02@26527,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticGarnetYellow,1xgt.metaitem.02@26528,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticGold,1xgt.metaitem.02@26086,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticGraniteBlack,1xgt.metaitem.02@26849,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticGraniteRed,1xgt.metaitem.02@26850,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticGraphene,1xgt.metaitem.02@26819,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticGraphite,1xgt.metaitem.02@26865,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticGreenSapphire,1xgt.metaitem.02@26504,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticHSLA,1xgt.metaitem.02@26322,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticInfusedAir,1xgt.metaitem.02@26540,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticInfusedEarth,1xgt.metaitem.02@26542,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticInfusedEntropy,1xgt.metaitem.02@26544,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticInfusedFire,1xgt.metaitem.02@26541,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticInfusedGold,1xgt.metaitem.02@26323,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticInfusedOrder,1xgt.metaitem.02@26545,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticInfusedWater,1xgt.metaitem.02@26543,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticInvar,1xgt.metaitem.02@26302,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticIridium,1xgt.metaitem.02@26084,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticIron,1xgt.metaitem.02@26032,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticIronMagnetic,1xgt.metaitem.02@26354,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticIronWood,1xgt.metaitem.02@26338,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticKanthal,1xgt.metaitem.02@26312,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticKnightmetal,1xgt.metaitem.02@26362,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticLead,1xgt.metaitem.02@26089,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticMagnalium,1xgt.metaitem.02@26313,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticManganese,1xgt.metaitem.02@26031,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticMeteoricIron,1xgt.metaitem.02@26340,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticMeteoricSteel,1xgt.metaitem.02@26341,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticMidasium,1xgt.metaitem.02@26332,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticMithril,1xgt.metaitem.02@26331,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticMolybdenum,1xgt.metaitem.02@26048,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticNaquadah,1xgt.metaitem.02@26324,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticNaquadahAlloy,1xgt.metaitem.02@26325,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticNaquadahEnriched,1xgt.metaitem.02@26326,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticNaquadria,1xgt.metaitem.02@26327,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticNeodymium,1xgt.metaitem.02@26067,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticNeodymiumMagnetic,1xgt.metaitem.02@26356,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticNetherQuartz,1xgt.metaitem.02@26522,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticNetherStar,1xgt.metaitem.02@26506,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticNeutronium,1xgt.metaitem.02@26129,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticNichrome,1xgt.metaitem.02@26311,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticNickel,1xgt.metaitem.02@26034,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticOlivine,1xgt.metaitem.02@26505,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticOpal,1xgt.metaitem.02@26510,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticOsmiridium,1xgt.metaitem.02@26317,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticOsmium,1xgt.metaitem.02@26083,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticPalladium,1xgt.metaitem.02@26052,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticPeridot,1xgt.metaitem.02@26505,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticPigIron,1xgt.metaitem.02@26307,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticPlastic,1xgt.metaitem.02@26874,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticPlatinum,1xgt.metaitem.02@26085,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticPlutonium,1xgt.metaitem.02@26100,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticPlutonium241,1xgt.metaitem.02@26101,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticRedSteel,1xgt.metaitem.02@26348,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticRoseGold,1xgt.metaitem.02@26351,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticRubber,1xgt.metaitem.02@26880,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticRuby,1xgt.metaitem.02@26502,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticSapphire,1xgt.metaitem.02@26503,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticShadowIron,1xgt.metaitem.02@26336,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticShadowSteel,1xgt.metaitem.02@26337,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticSilver,1xgt.metaitem.02@26054,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticStainlessSteel,1xgt.metaitem.02@26306,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticSteel,1xgt.metaitem.02@26305,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticSteelMagnetic,1xgt.metaitem.02@26355,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticSteeleaf,1xgt.metaitem.02@26339,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticSterlingSilver,1xgt.metaitem.02@26350,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticStone,1xgt.metaitem.02@26299,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticTanzanite,1xgt.metaitem.02@26508,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticThaumium,1xgt.metaitem.02@26330,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticThorium,1xgt.metaitem.02@26096,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticTinAlloy,1xgt.metaitem.02@26363,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticTitanium,1xgt.metaitem.02@26028,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticTopaz,1xgt.metaitem.02@26507,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticTritanium,1xgt.metaitem.02@26329,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticTungsten,1xgt.metaitem.02@26081,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticTungstenSteel,1xgt.metaitem.02@26316,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticUltimet,1xgt.metaitem.02@26344,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticUranium,1xgt.metaitem.02@26098,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticUranium235,1xgt.metaitem.02@26097,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticVinteum,1xgt.metaitem.02@26529,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticWood,1xgt.metaitem.02@26809,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticWoodSealed,1xgt.metaitem.02@26889,gregtech:gt.metaitem.02,false,gregtech
arrowGtPlasticWroughtIron,1xgt.metaitem.02@26304,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodAdamant,1xgt.metaitem.02@25319,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodAdamantine,1xgt.metaitem.02@25319,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodAdamantium,1xgt.metaitem.02@25319,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodAluminium,1xgt.metaitem.02@25019,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodAmber,1xgt.metaitem.02@25514,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodAmethyst,1xgt.metaitem.02@25509,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodAnyBronze,1xgt.metaitem.02@25300,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodAnyIron,1xgt.metaitem.02@25032,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodAnyIron,1xgt.metaitem.02@25304,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodAnyIron,1xgt.metaitem.02@25307,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodAstralSilver,1xgt.metaitem.02@25333,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodBeryllium,1xgt.metaitem.02@25008,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodBismuth,1xgt.metaitem.02@25090,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodBismuthBronze,1xgt.metaitem.02@25353,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodBlackBronze,1xgt.metaitem.02@25352,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodBlackSteel,1xgt.metaitem.02@25334,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodBlaze,1xgt.metaitem.02@25801,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodBlueSteel,1xgt.metaitem.02@25349,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodBlueTopaz,1xgt.metaitem.02@25513,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodBrass,1xgt.metaitem.02@25301,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodBronze,1xgt.metaitem.02@25300,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodCarbon,1xgt.metaitem.02@25010,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodCertusQuartz,1xgt.metaitem.02@25516,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodChargedCertusQuartz,1xgt.metaitem.02@25517,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodChrome,1xgt.metaitem.02@25030,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodCobalt,1xgt.metaitem.02@25033,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodCobaltBrass,1xgt.metaitem.02@25343,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodCupronickel,1xgt.metaitem.02@25310,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodDamascusSteel,1xgt.metaitem.02@25335,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodDarkIron,1xgt.metaitem.02@25342,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodDeepIron,1xgt.metaitem.02@25829,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodDesh,1xgt.metaitem.02@25884,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodDiamond,1xgt.metaitem.02@25500,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodDuranium,1xgt.metaitem.02@25328,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodElectrum,1xgt.metaitem.02@25303,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodElectrumFlux,1xgt.metaitem.02@25320,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodEmerald,1xgt.metaitem.02@25501,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodEnderium,1xgt.metaitem.02@25321,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodFZDarkIron,1xgt.metaitem.02@25342,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodFierySteel,1xgt.metaitem.02@25346,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodFirestone,1xgt.metaitem.02@25347,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodFlint,1xgt.metaitem.02@25802,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodForce,1xgt.metaitem.02@25521,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodFzDarkIron,1xgt.metaitem.02@25342,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodGarnet,1xgt.metaitem.02@25527,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodGarnetRed,1xgt.metaitem.02@25527,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodGarnetYellow,1xgt.metaitem.02@25528,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodGold,1xgt.metaitem.02@25086,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodGraniteBlack,1xgt.metaitem.02@25849,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodGraniteRed,1xgt.metaitem.02@25850,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodGraphene,1xgt.metaitem.02@25819,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodGraphite,1xgt.metaitem.02@25865,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodGreenSapphire,1xgt.metaitem.02@25504,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodHSLA,1xgt.metaitem.02@25322,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodInfusedAir,1xgt.metaitem.02@25540,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodInfusedEarth,1xgt.metaitem.02@25542,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodInfusedEntropy,1xgt.metaitem.02@25544,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodInfusedFire,1xgt.metaitem.02@25541,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodInfusedGold,1xgt.metaitem.02@25323,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodInfusedOrder,1xgt.metaitem.02@25545,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodInfusedWater,1xgt.metaitem.02@25543,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodInvar,1xgt.metaitem.02@25302,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodIridium,1xgt.metaitem.02@25084,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodIron,1xgt.metaitem.02@25032,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodIronMagnetic,1xgt.metaitem.02@25354,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodIronWood,1xgt.metaitem.02@25338,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodKanthal,1xgt.metaitem.02@25312,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodKnightmetal,1xgt.metaitem.02@25362,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodLead,1xgt.metaitem.02@25089,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodMagnalium,1xgt.metaitem.02@25313,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodManganese,1xgt.metaitem.02@25031,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodMeteoricIron,1xgt.metaitem.02@25340,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodMeteoricSteel,1xgt.metaitem.02@25341,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodMidasium,1xgt.metaitem.02@25332,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodMithril,1xgt.metaitem.02@25331,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodMolybdenum,1xgt.metaitem.02@25048,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodNaquadah,1xgt.metaitem.02@25324,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodNaquadahAlloy,1xgt.metaitem.02@25325,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodNaquadahEnriched,1xgt.metaitem.02@25326,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodNaquadria,1xgt.metaitem.02@25327,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodNeodymium,1xgt.metaitem.02@25067,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodNeodymiumMagnetic,1xgt.metaitem.02@25356,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodNetherQuartz,1xgt.metaitem.02@25522,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodNetherStar,1xgt.metaitem.02@25506,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodNeutronium,1xgt.metaitem.02@25129,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodNichrome,1xgt.metaitem.02@25311,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodNickel,1xgt.metaitem.02@25034,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodOlivine,1xgt.metaitem.02@25505,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodOpal,1xgt.metaitem.02@25510,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodOsmiridium,1xgt.metaitem.02@25317,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodOsmium,1xgt.metaitem.02@25083,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodPalladium,1xgt.metaitem.02@25052,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodPeridot,1xgt.metaitem.02@25505,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodPigIron,1xgt.metaitem.02@25307,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodPlastic,1xgt.metaitem.02@25874,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodPlatinum,1xgt.metaitem.02@25085,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodPlutonium,1xgt.metaitem.02@25100,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodPlutonium241,1xgt.metaitem.02@25101,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodRedSteel,1xgt.metaitem.02@25348,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodRoseGold,1xgt.metaitem.02@25351,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodRubber,1xgt.metaitem.02@25880,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodRuby,1xgt.metaitem.02@25502,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodSapphire,1xgt.metaitem.02@25503,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodShadowIron,1xgt.metaitem.02@25336,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodShadowSteel,1xgt.metaitem.02@25337,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodSilver,1xgt.metaitem.02@25054,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodStainlessSteel,1xgt.metaitem.02@25306,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodSteel,1xgt.metaitem.02@25305,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodSteelMagnetic,1xgt.metaitem.02@25355,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodSteeleaf,1xgt.metaitem.02@25339,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodSterlingSilver,1xgt.metaitem.02@25350,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodStone,1xgt.metaitem.02@25299,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodTanzanite,1xgt.metaitem.02@25508,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodThaumium,1xgt.metaitem.02@25330,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodThorium,1xgt.metaitem.02@25096,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodTinAlloy,1xgt.metaitem.02@25363,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodTitanium,1xgt.metaitem.02@25028,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodTopaz,1xgt.metaitem.02@25507,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodTritanium,1xgt.metaitem.02@25329,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodTungsten,1xgt.metaitem.02@25081,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodTungstenSteel,1xgt.metaitem.02@25316,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodUltimet,1xgt.metaitem.02@25344,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodUranium,1xgt.metaitem.02@25098,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodUranium235,1xgt.metaitem.02@25097,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodVinteum,1xgt.metaitem.02@25529,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodWood,1xgt.metaitem.02@25809,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodWoodSealed,1xgt.metaitem.02@25889,gregtech:gt.metaitem.02,false,gregtech
arrowGtWoodWroughtIron,1xgt.metaitem.02@25304,gregtech:gt.metaitem.02,false,gregtech
bamboo,1xitem.grc.bamboo@0,Growthcraft|Bamboo:grc.bamboo,false,Growthcraft|Bamboo
bambooAsper,1xtile.bambooAsper@0,plantmegapack:bambooAsper,false,plantmegapack
bambooFargesiaRobusta,1xtile.bambooFargesiaRobusta@0,plantmegapack:bambooFargesiaRobusta,false,plantmegapack
bambooGiantTimber,1xtile.bambooGiantTimber@0,plantmegapack:bambooGiantTimber,false,plantmegapack
bambooGolden,1xtile.bambooGolden@0,plantmegapack:bambooGolden,false,plantmegapack
bambooMoso,1xtile.bambooMoso@0,plantmegapack:bambooMoso,false,plantmegapack
bambooShortTassled,1xtile.bambooShortTassled@0,plantmegapack:bambooShortTassled,false,plantmegapack
bambooTimorBlack,1xtile.bambooTimorBlack@0,plantmegapack:bambooTimorBlack,false,plantmegapack
bambooTropicalBlue,1xtile.bambooTropicalBlue@0,plantmegapack:bambooTropicalBlue,false,plantmegapack
bambooWetForest,1xtile.bambooWetForest@0,plantmegapack:bambooWetForest,false,plantmegapack
barsIron,1xtile.fenceIron@0,minecraft:iron_bars,false,minecraft
batteryAdvanced,1xic2.itemAdvBat@32767,IC2:itemAdvBat,true,IC2
batteryBasic,1xic2.itemBatREDischarged@0,IC2:itemBatREDischarged,false,IC2
batteryBasic,1xic2.itemBatRE@32767,IC2:itemBatRE,true,IC2
batteryElite,1xic2.itemBatCrystal@32767,IC2:itemBatCrystal,true,IC2
